3,补偿文件已加载，GEC模块将在设备返回参考点后开始工作,提示,补偿生效提示消息。,各轴进行返参操作
5,CNC进入警告状态停止,提示,系统进入警告状态提示消息。,查看消息栏该消息附近的其它消息，找出报警的原因。
9,清理逻辑轴%随动误差,提示,清理逻辑轴随动误差提示消息。,不需要处理。
10,系统紧急停止,提示,系统进入急停状态提示消息。,查看消息栏该消息附近的其它消息，找出报警的原因。
7114,逻辑轴%:上使能获取状态超时,警告,,GNC无法指令该逻辑轴伺服上使能，请检查伺服驱动器
7115,逻辑轴%:下使能获取状态超时,警告,,GNC无法指令该逻辑轴伺服下使能，请检查伺服驱动器
19,PLC指令逻辑轴%上使能,提示,参数ShowDegMsg=1时输出的内部消息，为方便系统调试；,不需要处理。
20,PLC指令逻辑轴%下使能,提示,参数ShowDegMsg=1时输出的内部消息，为方便系统调试；,不需要处理。
21,命令逻辑轴%上使能,提示,参数ShowDegMsg=1时输出的内部消息，为方便系统调试；,不需要处理。
22,命令逻辑轴%下使能,提示,参数ShowDegMsg=1时输出的内部消息，为方便系统调试；,不需要处理。
23,启动主轴%角度为%的准停动作,提示,参数ShowDegMsg=1时输出的内部消息，为方便系统调试；,不需要处理。
25,非手动模式下不允许启动手动倍率,提示,,切换至手动模式再试
29,手脉轴选%未上使能,提示,,对应轴上使能后再试
30,接收到来自PLC的逻辑轴%附加指令%,提示,参数ShowDegMsg=1时输出的内部消息，为方便系统调试；,不需要处理。
31,未返参不允许切换模式,提示,,返参操作后再试
32,正在返参不允许切换模式,提示,,等待返参操作结束后再试
39,返参正在进行禁止操作,提示,,等待返参操作结束后再试
41,程序启动时倍率为0,提示,,倍率开关切换至非零刻度
51,G211逻辑轴模式切换至主轴模式完成,提示,逻辑轴切换至主轴模式完成消息,不需要处理。
56,NC 完成恢复主轴% 的使能，启动主轴旋转工作,提示,系统内部处理提示性消息,不需要处理。
59,系统紧急停止，指令来自PLC,提示,PLC指令系统进入急停状态提示消息,不需要处理。
71,模式-手动,提示,系统一些报警消息内容构成字段,不需要处理。
72,模式-自动,提示,系统一些报警消息内容构成字段,不需要处理。
73,模式-MDI,提示,系统一些报警消息内容构成字段,不需要处理。
74,状态-准备好,提示,系统一些报警消息内容构成字段,不需要处理。
75,状态-程序运行,提示,系统一些报警消息内容构成字段,不需要处理。
76,状态-紧急停止,提示,系统一些报警消息内容构成字段,不需要处理。
77,状态-警告,提示,系统一些报警消息内容构成字段,不需要处理。
78,状态-暂停,提示,系统一些报警消息内容构成字段,不需要处理。
79,复位-正在进行,提示,系统一些报警消息内容构成字段,不需要处理。
80,复位-非在进行,提示,系统一些报警消息内容构成字段,不需要处理。
81,自动程序-正在执行,提示,系统一些报警消息内容构成字段,不需要处理。
82,自动程序-非执行,提示,系统一些报警消息内容构成字段,不需要处理。
83,请求-紧急停止-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
84,请求-启动自动程序-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
85,请求-添加手动任务-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
86,请求-逻辑轴上使能-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
87,请求-逻辑轴下使能-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
88,请求-主轴闭环-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
89,请求-主轴开环-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
90,请求-主轴上使能-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
91,请求-主轴下使能-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
92,请求-主轴准停-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
93,请求-设置自动程序名-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
94,请求-切换测试模式-不允许执行,提示,系统一些报警消息内容构成字段,不需要处理。
95,机器人初始化坐标失败，请移动A5 轴后再重新启动,提示,,手动操作移动A5轴后再重新启动系统
101,倍率为0，返参无法进行,提示,,倍率开关切换至非零刻度
107,NC启动主轴，恢复主轴% 的使能,提示,系统内部处理提示性消息,不需要处理。
111,刚性攻丝进行的时候忽略启动主轴指令M,提示,系统内部处理提示性消息,不需要处理。
112,主轴准停进行的时候忽略启动主轴指令M,提示,系统内部处理提示性消息,不需要处理。
131,PLC锁定NC执行自动程序功能,提示,,检查操作时序逻辑
132,PLC已将NC锁定，不允许启动,提示,,检查操作时序逻辑
133,PLC已将NC锁定,提示,系统内部处理提示性消息,不需要处理。
135,该操作被锁定，请先矢量退刀,提示,矢量退刀操作生效后，其它操作被锁定。,先进行矢量退刀操作后，再继续。
136,手动干预后，没有启动断点返回，无法继续,提示,手动模式干预操作后，必须启动断点返回操作。,自动模式->下一级->按下“断点返回”键后返回自动模式，按“启动”键。
139,操作指定的%号逻辑轴不存在,提示,逻辑轴不存在,检查逻辑轴号
140,操作指定的%号主轴不存在,提示,主轴不存在,检查主轴号
146,程序运行方式为：测试运行，该方式下不允许切换模式,提示,,自动模式->“运行方式”->“测试运行”键取消程序测试运行方式
3300,G211：刀补未取消,警告,,先使用G40取消刀补后再试
147,保存系统参数文件失败,提示,,系统运行致命错误，请联系相关技术人员。
148,hmi设置坐标系失败,提示,程序正在执行设置，不允许通过hmi 修改坐标系设置。,等待程序执行完成后再试。
154,程序正在执行，不允许通过hmi修改坐标系,提示,程序正在执行设置，不允许通过hmi 修改坐标系设置。,等待程序执行完成后再试。
157,"主轴%:所绑定物理轴电机最大速度设置异常,请检查",提示,电机的最大速度设置了异常过大的数值。,根据系统配置的电机参数重新设置该值。
164,G00或G01倍率为0，该手动操作被忽略,提示,G00或G01倍率为0时，手动任务无法执行。,G00或G01倍率为0时，手动任务无法执行。
165,PLC已锁定CNC，该手动操作被忽略,提示,PLC已锁定CNC时，手动任务无法执行。,请检查plc程序
168,程序段选择模式-不允许执行程序,提示,由于该模式下的限制条件，请查看附近相关消息。,由于该模式下的限制条件，请查看附近相关消息。
